2024-05-28 19:54:25,471 - INFO - Loss: 1423, Last Reward: -1, Total Steps: 200
2024-05-28 19:55:05,471 - INFO - Loss: 1214.6, Last Reward: 1, Total Steps: 200
2024-05-28 19:55:45,471 - INFO - Loss: 1221.1, Last Reward: -1, Total Steps: 200
2024-05-28 19:56:25,471 - INFO - Loss: 1190.7, Last Reward: 1, Total Steps: 200
2024-05-28 19:57:05,471 - INFO - Loss: 1119.1, Last Reward: -1, Total Steps: 200
2024-05-28 19:57:45,471 - INFO - Loss: 1130.1, Last Reward: 1, Total Steps: 200
2024-05-28 19:58:25,471 - INFO - Loss: 1141.1, Last Reward: -1, Total Steps: 200
2024-05-28 19:59:05,471 - INFO - Loss: 1066.8, Last Reward: 1, Total Steps: 200
2024-05-28 19:59:45,471 - INFO - Loss: 830.8, Last Reward: -1, Total Steps: 200
2024-05-28 20:00:25,471 - INFO - Loss: 1052.8, Last Reward: 1, Total Steps: 200
2024-05-28 20:01:05,471 - INFO - Loss: 1027.3, Last Reward: -1, Total Steps: 200
2024-05-28 20:01:45,471 - INFO - Loss: 949.1, Last Reward: 1, Total Steps: 200
2024-05-28 20:02:25,471 - INFO - Loss: 971.0, Last Reward: -1, Total Steps: 200
2024-05-28 20:03:05,471 - INFO - Loss: 659.6, Last Reward: 1, Total Steps: 200
2024-05-28 20:03:45,471 - INFO - Loss: 849.6, Last Reward: -1, Total Steps: 200
2024-05-28 20:04:25,471 - INFO - Loss: 830.7, Last Reward: 1, Total Steps: 200
2024-05-28 20:05:05,471 - INFO - Loss: 857.1, Last Reward: -1, Total Steps: 200
2024-05-28 20:05:45,471 - INFO - Loss: 9304.8, Last Reward: 1, Total Steps: 200
2024-05-28 20:06:25,471 - INFO - Loss: 1290.0, Last Reward: -1, Total Steps: 200
2024-05-28 20:07:05,471 - INFO - Loss: 1332.7, Last Reward: 1, Total Steps: 200
2024-05-28 20:07:45,471 - INFO - Loss: 1399.1, Last Reward: -1, Total Steps: 200
2024-05-28 20:08:25,471 - INFO - Loss: 1330.2, Last Reward: 1, Total Steps: 200
2024-05-28 20:09:05,471 - INFO - Loss: 940.8, Last Reward: -1, Total Steps: 200
2024-05-28 20:09:45,471 - INFO - Loss: 937.6, Last Reward: 1, Total Steps: 200
2024-05-28 20:10:25,471 - INFO - Loss: 1404.6, Last Reward: -1, Total Steps: 200
2024-05-28 20:11:05,471 - INFO - Loss: 830.2, Last Reward: 1, Total Steps: 200
2024-05-28 20:11:45,471 - INFO - Loss: 825.0, Last Reward: -1, Total Steps: 200
2024-05-28 20:12:25,471 - INFO - Loss: 6479.1, Last Reward: 1, Total Steps: 200
2024-05-28 20:13:05,471 - INFO - Loss: 761.4, Last Reward: -1, Total Steps: 200
2024-05-28 20:13:45,471 - INFO - Loss: 789.7, Last Reward: 1, Total Steps: 200
2024-05-28 20:14:25,471 - INFO - Loss: 603.4, Last Reward: -1, Total Steps: 200
2024-05-28 20:15:05,471 - INFO - Loss: 631.7, Last Reward: 1, Total Steps: 200
2024-05-28 20:15:45,471 - INFO - Loss: 444.6, Last Reward: -1, Total Steps: 200
2024-05-28 20:16:25,471 - INFO - Loss: 645.2, Last Reward: 1, Total Steps: 200
2024-05-28 20:17:05,471 - INFO - Loss: 595.0, Last Reward: -1, Total Steps: 200
2024-05-28 20:17:45,471 - INFO - Loss: 656.3, Last Reward: 1, Total Steps: 200
2024-05-28 20:18:25,471 - INFO - Loss: 413.7, Last Reward: -1, Total Steps: 200
2024-05-28 20:19:05,471 - INFO - Loss: 403.9, Last Reward: 1, Total Steps: 200
2024-05-28 20:19:45,471 - INFO - Loss: 496.0, Last Reward: -1, Total Steps: 200
2024-05-28 20:20:25,471 - INFO - Loss: 758.5, Last Reward: 1, Total Steps: 200
2024-05-28 20:21:05,471 - INFO - Loss: 749.2, Last Reward: -1, Total Steps: 200
2024-05-28 20:21:45,471 - INFO - Loss: 514.5, Last Reward: 1, Total Steps: 200
2024-05-28 20:22:25,471 - INFO - Loss: 506.4, Last Reward: -1, Total Steps: 200
2024-05-28 20:23:05,471 - INFO - Loss: 611.9, Last Reward: 1, Total Steps: 200
2024-05-28 20:23:45,471 - INFO - Loss: 626.0, Last Reward: -1, Total Steps: 200
2024-05-28 20:24:25,471 - INFO - Loss: 695.5, Last Reward: 1, Total Steps: 200
2024-05-28 20:25:05,471 - INFO - Loss: 629.4, Last Reward: -1, Total Steps: 200
2024-05-28 20:25:45,471 - INFO - Loss: 651.1, Last Reward: 1, Total Steps: 200
2024-05-28 20:26:25,471 - INFO - Loss: 401.3, Last Reward: -1, Total Steps: 200
2024-05-28 20:27:05,471 - INFO - Loss: 765.2, Last Reward: 1, Total Steps: 200
2024-05-28 20:27:45,471 - INFO - Loss: 778.1, Last Reward: -1, Total Steps: 200
2024-05-28 20:28:25,471 - INFO - Loss: 552.9, Last Reward: 1, Total Steps: 200
2024-05-28 20:29:05,471 - INFO - Loss: 571.0, Last Reward: -1, Total Steps: 200
2024-05-28 20:29:45,471 - INFO - Loss: 802.8, Last Reward: 1, Total Steps: 200
2024-05-28 20:30:25,471 - INFO - Loss: 574.0, Last Reward: -1, Total Steps: 200
2024-05-28 20:31:05,471 - INFO - Loss: 425.5, Last Reward: 1, Total Steps: 200
2024-05-28 20:31:45,471 - INFO - Loss: 681.8, Last Reward: -1, Total Steps: 200
