type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_ask,side,time,trade_id,last_size
ticker,1294753515,WLUNA-USD,1.25,24.85,57373051.957,0.95,25.16,73221424.517,1.24,1.26,sell,2022-05-11 19:35:40.510165+00:00,8007273,80.0
ticker,1294753517,WLUNA-USD,1.24,24.85,57373218.0,0.95,25.16,73221590.56,1.23,1.26,sell,2022-05-11 19:35:40.510165+00:00,8007274,166.043
ticker,1294753545,WLUNA-USD,1.25,24.85,57373221.76,0.95,25.16,73221594.32,1.23,1.26,buy,2022-05-11 19:35:40.556322+00:00,8007275,3.76
ticker,1294753547,WLUNA-USD,1.26,24.85,57373229.56,0.95,25.16,73221602.12,1.23,1.26,buy,2022-05-11 19:35:40.556322+00:00,8007276,7.8
ticker,1294753549,WLUNA-USD,1.26,24.85,57373234.442,0.95,25.16,73221607.002,1.23,1.26,buy,2022-05-11 19:35:40.556322+00:00,8007277,4.882
ticker,1294753551,WLUNA-USD,1.26,24.85,57373263.747,0.95,25.16,73221636.307,1.23,1.26,buy,2022-05-11 19:35:40.556322+00:00,8007278,29.305
ticker,1294753646,WLUNA-USD,1.24,24.85,57373271.547,0.95,25.16,73221644.107,1.24,1.25,sell,2022-05-11 19:35:41.087201+00:00,8007279,7.8
ticker,1294753648,WLUNA-USD,1.24,24.85,57373274.237,0.95,25.16,73221646.797,1.23,1.25,sell,2022-05-11 19:35:41.087201+00:00,8007280,2.69
ticker,1294753678,WLUNA-USD,1.23,24.85,57373288.237,0.95,25.16,73221660.797,1.23,1.24,sell,2022-05-11 19:35:41.621464+00:00,8007281,14.0
ticker,1294753680,WLUNA-USD,1.23,24.85,57373308.982,0.95,25.16,73221681.542,1.23,1.24,sell,2022-05-11 19:35:41.621464+00:00,8007282,20.745
ticker,1294753682,WLUNA-USD,1.23,24.85,57373456.097,0.95,25.16,73221828.657,1.23,1.24,sell,2022-05-11 19:35:41.621464+00:00,8007283,147.115
ticker,1294753689,WLUNA-USD,1.23,24.85,57374269.28,0.95,25.16,73222641.84,1.23,1.24,sell,2022-05-11 19:35:41.733550+00:00,8007284,813.183
ticker,1294753711,WLUNA-USD,1.23,24.85,57374308.982,0.95,25.16,73222681.542,1.23,1.24,sell,2022-05-11 19:35:42.001703+00:00,8007285,39.702
ticker,1294753713,WLUNA-USD,1.23,24.85,57374316.782,0.95,25.16,73222689.342,1.23,1.24,sell,2022-05-11 19:35:42.001703+00:00,8007286,7.8
ticker,1294753715,WLUNA-USD,1.23,24.85,57374329.551,0.95,25.16,73222702.111,1.23,1.24,sell,2022-05-11 19:35:42.001703+00:00,8007287,12.769
