type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_ask,side,time,trade_id,last_size
ticker,1294544151,WLUNA-USD,1.35,24.85,53626698.101,0.95,25.16,69440454.557,1.35,1.36,sell,2022-05-11T19:15:20.359969Z,7992348,110.975
ticker,1294544153,WLUNA-USD,1.35,24.85,53626699.101,0.95,25.16,69440455.557,1.35,1.36,sell,2022-05-11T19:15:20.359969Z,7992349,1.0
ticker,1294544155,WLUNA-USD,1.35,24.85,53626699.401,0.95,25.16,69440455.857,1.35,1.36,sell,2022-05-11T19:15:20.359969Z,7992350,0.3
ticker,1294544157,WLUNA-USD,1.35,24.85,53626829.401,0.95,25.16,69440585.857,1.34,1.36,sell,2022-05-11T19:15:20.359969Z,7992351,130.0
ticker,1294544159,WLUNA-USD,1.34,24.85,53626829.501,0.95,25.16,69440585.957,1.34,1.36,sell,2022-05-11T19:15:20.359969Z,7992352,0.1
ticker,1294544161,WLUNA-USD,1.34,24.85,53626829.601,0.95,25.16,69440586.057,1.34,1.36,sell,2022-05-11T19:15:20.359969Z,7992353,0.1
ticker,1294544163,WLUNA-USD,1.34,24.85,53631314.714,0.95,25.16,69445071.17,1.34,1.36,sell,2022-05-11T19:15:20.359969Z,7992354,4485.113
ticker,1294544178,WLUNA-USD,1.36,24.85,53631317.099,0.95,25.16,69445073.555,1.35,1.36,buy,2022-05-11T19:15:20.452260Z,7992355,2.385
ticker,1294544208,WLUNA-USD,1.35,24.85,53631319.715,0.95,25.16,69445076.171,1.35,1.36,sell,2022-05-11T19:15:20.482650Z,7992356,2.616
ticker,1294544239,WLUNA-USD,1.36,24.85,53455278.002,0.95,25.16,69303650.562,1.35,1.37,buy,2022-05-11T19:15:20.600860Z,7992357,2.425
ticker,1294544281,WLUNA-USD,1.35,24.85,53455285.184,0.95,25.16,69303657.744,1.34,1.36,sell,2022-05-11T19:15:20.897310Z,7992358,7.182
ticker,1294544283,WLUNA-USD,1.34,24.85,53462777.984,0.95,25.16,69311150.544,1.34,1.36,sell,2022-05-11T19:15:20.897310Z,7992359,7492.8
ticker,1294544296,WLUNA-USD,1.34,24.85,53462785.166,0.95,25.16,69311157.726,1.34,1.36,sell,2022-05-11T19:15:20.917071Z,7992360,7.182
ticker,1294544312,WLUNA-USD,1.35,24.85,53462792.348,0.95,25.16,69311164.908,1.34,1.36,buy,2022-05-11T19:15:20.937672Z,7992361,7.182
ticker,1294544333,WLUNA-USD,1.34,24.85,53463408.486,0.95,25.16,69311781.046,1.34,1.35,sell,2022-05-11T19:15:20.966759Z,7992362,616.138
ticker,1294544336,WLUNA-USD,1.35,24.85,53463415.668,0.95,25.16,69311788.228,1.34,1.35,buy,2022-05-11T19:15:20.971440Z,7992363,7.182
ticker,1294544340,WLUNA-USD,1.35,24.85,53463751.668,0.95,25.16,69312124.228,1.34,1.35,buy,2022-05-11T19:15:20.979845Z,7992364,336.0
ticker,1294544361,WLUNA-USD,1.35,24.85,53463818.036,0.95,25.16,69312190.596,1.34,1.35,buy,2022-05-11T19:15:21.111217Z,7992365,66.368
ticker,1294544379,WLUNA-USD,1.34,24.85,53466216.803,0.95,25.16,69314589.363,1.34,1.35,sell,2022-05-11T19:15:21.477551Z,7992366,2398.767
ticker,1294544381,WLUNA-USD,1.34,24.85,53466277.071,0.95,25.16,69314649.631,1.34,1.35,sell,2022-05-11T19:15:21.477551Z,7992367,60.268
ticker,1294544383,WLUNA-USD,1.34,24.85,53466279.963,0.95,25.16,69314652.523,1.33,1.35,sell,2022-05-11T19:15:21.477551Z,7992368,2.892
ticker,1294544385,WLUNA-USD,1.33,24.85,53466280.063,0.95,25.16,69314652.623,1.33,1.35,sell,2022-05-11T19:15:21.477551Z,7992369,0.1
ticker,1294544387,WLUNA-USD,1.33,24.85,53466580.063,0.95,25.16,69314952.623,1.33,1.35,sell,2022-05-11T19:15:21.477551Z,7992370,300.0
ticker,1294544389,WLUNA-USD,1.33,24.85,53467580.063,0.95,25.16,69315952.623,1.33,1.35,sell,2022-05-11T19:15:21.477551Z,7992371,1000.0
ticker,1294544391,WLUNA-USD,1.33,24.85,53468124.022,0.95,25.16,69316496.582,1.33,1.35,sell,2022-05-11T19:15:21.477551Z,7992372,543.959
ticker,1294544393,WLUNA-USD,1.33,24.85,53468224.022,0.95,25.16,69316596.582,1.33,1.35,sell,2022-05-11T19:15:21.477551Z,7992373,100.0
ticker,1294544395,WLUNA-USD,1.33,24.85,53468234.022,0.95,25.16,69316606.582,1.33,1.35,sell,2022-05-11T19:15:21.477551Z,7992374,10.0
ticker,1294544397,WLUNA-USD,1.33,24.85,53470908.906,0.95,25.16,69319281.466,1.33,1.35,sell,2022-05-11T19:15:21.477551Z,7992375,2674.884
ticker,1294544399,WLUNA-USD,1.33,24.85,53470988.906,0.95,25.16,69319361.466,1.33,1.35,sell,2022-05-11T19:15:21.477551Z,7992376,80.0
ticker,1294544401,WLUNA-USD,1.33,24.85,53471063.663,0.95,25.16,69319436.223,1.33,1.35,sell,2022-05-11T19:15:21.477551Z,7992377,74.757
ticker,1294544403,WLUNA-USD,1.33,24.85,53471140.663,0.95,25.16,69319513.223,1.33,1.35,sell,2022-05-11T19:15:21.477551Z,7992378,77.0
ticker,1294544405,WLUNA-USD,1.33,24.85,53471199.958,0.95,25.16,69319572.518,1.33,1.35,sell,2022-05-11T19:15:21.477551Z,7992379,59.295
ticker,1294544407,WLUNA-USD,1.33,24.85,53471318.018,0.95,25.16,69319690.578,1.33,1.35,sell,2022-05-11T19:15:21.477551Z,7992380,118.06
ticker,1294544476,WLUNA-USD,1.34,24.85,53471325.2,0.95,25.16,69319697.76,1.33,1.35,sell,2022-05-11T19:15:22.022175Z,7992381,7.182
ticker,1294544478,WLUNA-USD,1.33,24.85,53474107.14,0.95,25.16,69322479.7,1.33,1.35,sell,2022-05-11T19:15:22.022175Z,7992382,2781.94
ticker,1294544480,WLUNA-USD,1.33,24.85,53474158.912,0.95,25.16,69322531.472,1.33,1.35,sell,2022-05-11T19:15:22.022175Z,7992383,51.772
ticker,1294544482,WLUNA-USD,1.33,24.85,53474385.232,0.95,25.16,69322757.792,1.32,1.35,sell,2022-05-11T19:15:22.022175Z,7992384,226.32
ticker,1294544484,WLUNA-USD,1.32,24.85,53474685.232,0.95,25.16,69323057.792,1.32,1.35,sell,2022-05-11T19:15:22.022175Z,7992385,300.0
ticker,1294544486,WLUNA-USD,1.32,24.85,53478818.0,0.95,25.16,69327190.56,1.32,1.35,sell,2022-05-11T19:15:22.022175Z,7992386,4132.768
ticker,1294544612,WLUNA-USD,1.33,24.85,53479137.074,0.95,25.16,69327509.634,1.33,1.34,sell,2022-05-11T19:15:22.772600Z,7992387,319.074
ticker,1294544614,WLUNA-USD,1.33,24.85,53479144.256,0.95,25.16,69327516.816,1.33,1.34,sell,2022-05-11T19:15:22.772600Z,7992388,7.182
ticker,1294544616,WLUNA-USD,1.33,24.85,53479146.753,0.95,25.16,69327519.313,1.32,1.34,sell,2022-05-11T19:15:22.772600Z,7992389,2.497
ticker,1294544618,WLUNA-USD,1.32,24.85,53486317.982,0.95,25.16,69334690.542,1.32,1.34,sell,2022-05-11T19:15:22.772600Z,7992390,7171.229
ticker,1294544644,WLUNA-USD,1.33,24.85,53486325.164,0.95,25.16,69334697.724,1.32,1.34,buy,2022-05-11T19:15:22.984373Z,7992391,7.182
ticker,1294544646,WLUNA-USD,1.34,24.85,53486327.756,0.95,25.16,69334700.316,1.32,1.34,buy,2022-05-11T19:15:22.984373Z,7992392,2.592
ticker,1294544648,WLUNA-USD,1.34,24.85,53486330.34,0.95,25.16,69334702.9,1.32,1.34,buy,2022-05-11T19:15:22.984373Z,7992393,2.584
ticker,1294544650,WLUNA-USD,1.34,24.85,53486351.085,0.95,25.16,69334723.645,1.32,1.34,buy,2022-05-11T19:15:22.984373Z,7992394,20.745
ticker,1294544652,WLUNA-USD,1.34,24.85,53486686.649,0.95,25.16,69335059.209,1.32,1.34,buy,2022-05-11T19:15:22.984373Z,7992395,335.564
ticker,1294544660,WLUNA-USD,1.32,24.85,53486693.831,0.95,25.16,69335066.391,1.32,1.34,sell,2022-05-11T19:15:23.071013Z,7992396,7.182
ticker,1294544691,WLUNA-USD,1.34,24.85,53486694.48,0.95,25.16,69335067.04,1.33,1.34,buy,2022-05-11T19:15:23.218375Z,7992397,0.649
ticker,1294544704,WLUNA-USD,1.34,24.85,53486757.122,0.95,25.16,69335129.682,1.33,1.34,buy,2022-05-11T19:15:23.252696Z,7992398,62.642
ticker,1294544709,WLUNA-USD,1.34,24.85,53486768.969,0.95,25.16,69335141.529,1.33,1.34,buy,2022-05-11T19:15:23.276025Z,7992399,11.847
ticker,1294544723,WLUNA-USD,1.33,24.85,53486776.151,0.95,25.16,69335148.711,1.33,1.34,sell,2022-05-11T19:15:23.306264Z,7992400,7.182
ticker,1294544725,WLUNA-USD,1.33,24.85,53486796.896,0.95,25.16,69335169.456,1.33,1.34,sell,2022-05-11T19:15:23.306264Z,7992401,20.745
ticker,1294544727,WLUNA-USD,1.33,24.85,53486804.078,0.95,25.16,69335176.638,1.32,1.34,sell,2022-05-11T19:15:23.306264Z,7992402,7.182
ticker,1294544729,WLUNA-USD,1.32,24.85,53494268.951,0.95,25.16,69342641.511,1.32,1.34,sell,2022-05-11T19:15:23.306264Z,7992403,7464.873
ticker,1294544770,WLUNA-USD,1.33,24.85,53494276.133,0.95,25.16,69342648.693,1.33,1.34,sell,2022-05-11T19:15:23.736469Z,7992404,7.182
ticker,1294544772,WLUNA-USD,1.33,24.85,53494278.975,0.95,25.16,69342651.535,1.32,1.34,sell,2022-05-11T19:15:23.736469Z,7992405,2.842
